date,open,high,low,close,adjusted close,volume,dividend amt,split coef
2019-09-30,220.900,224.580,220.790,223.970,222.771,26318583.000,0.000,1.000
2019-10-01,225.070,228.220,224.200,224.590,223.388,36187163.000,0.000,1.000
2019-10-02,223.060,223.580,217.930,218.960,217.788,35767257.000,0.000,1.000
2019-10-03,218.430,220.960,215.132,220.820,219.638,30352686.000,0.000,1.000
2019-10-04,225.640,227.490,223.890,227.010,225.795,34755553.000,0.000,1.000
2019-10-07,226.270,229.930,225.840,227.060,225.845,30889269.000,0.000,1.000
2019-10-08,225.820,228.060,224.330,224.400,223.199,29282700.000,0.000,1.000
2019-10-09,227.030,227.790,225.640,227.030,225.815,19029424.000,0.000,1.000
2019-10-10,227.930,230.440,227.300,230.090,228.858,28962984.000,0.000,1.000
2019-10-11,232.950,237.640,232.308,236.210,234.946,41990210.000,0.000,1.000
2019-10-14,234.900,238.134,234.670,235.870,234.607,24413484.000,0.000,1.000
2019-10-15,236.390,237.650,234.880,235.320,234.060,23040483.000,0.000,1.000
2019-10-16,233.370,235.240,233.200,234.370,233.116,19286694.000,0.000,1.000
2019-10-17,235.090,236.150,233.520,235.280,234.021,17272897.000,0.000,1.000
2019-10-18,234.590,237.580,234.290,236.410,235.145,24248023.000,0.000,1.000
2019-10-21,237.520,240.990,237.320,240.510,239.223,21811567.000,0.000,1.000
2019-10-22,241.160,242.200,239.622,239.960,238.676,22684001.000,0.000,1.000
2019-10-23,242.100,243.240,241.220,243.180,241.878,19932545.000,0.000,1.000
2019-10-24,244.510,244.800,241.805,243.580,242.276,17916255.000,0.000,1.000
2019-10-25,243.160,246.730,242.880,246.580,245.260,18369296.000,0.000,1.000
2019-10-28,247.420,249.250,246.720,249.050,247.717,23655368.000,0.000,1.000
2019-10-29,248.970,249.750,242.570,243.290,241.988,35709867.000,0.000,1.000
2019-10-30,244.760,245.300,241.210,243.260,241.958,31130522.000,0.000,1.000
2019-10-31,247.240,249.170,237.260,248.760,247.429,34790520.000,0.000,1.000
2019-11-01,249.540,255.930,249.160,255.820,254.451,37781334.000,0.000,1.000
2019-11-04,257.330,257.845,255.380,257.500,256.122,25817952.000,0.000,1.000
2019-11-05,257.050,258.190,256.320,257.130,255.754,19974427.000,0.000,1.000
2019-11-06,256.770,257.490,255.365,257.240,255.863,18966124.000,0.000,1.000
2019-11-07,258.740,260.350,258.110,259.430,258.807,23735083.000,0.770,1.000
2019-11-08,258.690,260.440,256.850,260.140,259.516,17520495.000,0.000,1.000
2019-11-11,258.300,262.470,258.280,262.200,261.571,20507459.000,0.000,1.000
2019-11-12,261.550,262.790,260.920,261.960,261.331,21847226.000,0.000,1.000
2019-11-13,261.130,264.780,261.070,264.470,263.835,25817593.000,0.000,1.000
2019-11-14,263.750,264.880,262.100,262.640,262.010,22395556.000,0.000,1.000
2019-11-15,263.680,265.780,263.010,265.760,265.122,25093666.000,0.000,1.000
2019-11-18,265.800,267.430,264.230,267.100,266.459,21700897.000,0.000,1.000
2019-11-19,267.900,268.000,265.393,266.290,265.651,19069597.000,0.000,1.000
2019-11-20,265.540,266.083,260.400,263.190,262.558,26609919.000,0.000,1.000
2019-11-21,263.690,264.005,261.180,262.010,261.381,30348778.000,0.000,1.000
2019-11-22,262.590,263.180,260.840,261.780,261.152,16331263.000,0.000,1.000
2019-11-25,262.710,266.440,262.520,266.370,265.731,21029517.000,0.000,1.000
2019-11-26,266.940,267.160,262.500,264.290,263.656,26334882.000,0.000,1.000
2019-11-27,265.580,267.980,265.310,267.840,267.197,16386122.000,0.000,1.000
2019-11-29,266.600,268.000,265.900,267.250,266.608,11654363.000,0.000,1.000
2019-12-02,267.270,268.250,263.450,264.160,263.526,23693550.000,0.000,1.000
2019-12-03,258.310,259.530,256.290,259.450,258.827,29377268.000,0.000,1.000
2019-12-04,261.070,263.310,260.680,261.740,261.112,16810388.000,0.000,1.000
2019-12-05,263.790,265.890,262.730,265.580,264.942,18661343.000,0.000,1.000
2019-12-06,267.480,271.000,267.300,270.710,270.060,26547493.000,0.000,1.000
2019-12-09,270.000,270.800,264.910,266.920,266.279,32182645.000,0.000,1.000
2019-12-10,268.600,270.070,265.860,268.480,267.836,22632383.000,0.000,1.000
2019-12-11,268.810,271.100,268.500,270.770,270.120,19723391.000,0.000,1.000
2019-12-12,267.780,272.560,267.321,271.460,270.808,34437042.000,0.000,1.000
2019-12-13,271.460,275.300,270.930,275.150,274.490,33432806.000,0.000,1.000
2019-12-16,277.000,280.790,276.980,279.860,279.188,32081105.000,0.000,1.000
2019-12-17,279.570,281.770,278.800,280.410,279.737,28575798.000,0.000,1.000
2019-12-18,279.800,281.900,279.120,279.740,279.069,29024687.000,0.000,1.000
2019-12-19,279.500,281.180,278.950,280.020,279.348,24626947.000,0.000,1.000
2019-12-20,282.230,282.650,278.560,279.440,278.769,69032743.000,0.000,1.000
2019-12-23,280.530,284.250,280.373,284.000,283.318,24677883.000,0.000,1.000
2019-12-24,284.690,284.890,282.920,284.270,283.588,12119714.000,0.000,1.000
2019-12-26,284.820,289.980,284.700,289.910,289.214,23334004.000,0.000,1.000
2019-12-27,291.120,293.970,288.120,289.800,289.104,36592936.000,0.000,1.000
2019-12-30,289.460,292.690,285.220,291.520,290.820,36059614.000,0.000,1.000
2019-12-31,289.930,293.680,289.520,293.650,292.945,25247625.000,0.000,1.000
2020-01-02,296.240,300.600,295.190,300.350,299.629,33911864.000,0.000,1.000
2020-01-03,297.150,300.580,296.500,297.430,296.716,36633878.000,0.000,1.000
2020-01-06,293.790,299.960,292.750,299.800,299.080,29644644.000,0.000,1.000
2020-01-07,299.840,300.900,297.480,298.390,297.674,27877655.000,0.000,1.000
2020-01-08,297.160,304.440,297.156,303.190,302.462,33090946.000,0.000,1.000
2020-01-09,307.235,310.430,306.200,309.630,308.887,42621542.000,0.000,1.000
2020-01-10,310.600,312.670,308.250,310.330,309.585,35217272.000,0.000,1.000
2020-01-13,311.640,317.070,311.150,316.960,316.199,30028742.000,0.000,1.000
2020-01-14,316.700,317.570,312.170,312.680,311.930,40653457.000,0.000,1.000
2020-01-15,311.850,315.500,309.550,311.340,310.593,30480882.000,0.000,1.000
2020-01-16,313.590,315.700,312.090,315.240,314.483,27207254.000,0.000,1.000
2020-01-17,316.270,318.740,315.000,318.730,317.965,34454117.000,0.000,1.000
2020-01-21,317.190,319.020,316.000,316.570,315.810,27235039.000,0.000,1.000
2020-01-22,318.580,319.990,317.310,317.700,316.937,25458115.000,0.000,1.000
2020-01-23,317.920,319.560,315.650,319.230,318.464,26117993.000,0.000,1.000
2020-01-24,320.250,323.330,317.519,318.310,317.546,36634380.000,0.000,1.000
2020-01-27,310.060,311.770,304.880,308.950,308.208,40485005.000,0.000,1.000
2020-01-28,312.600,318.400,312.190,317.690,316.928,40558486.000,0.000,1.000
2020-01-29,324.450,327.850,321.380,324.340,323.562,54149928.000,0.000,1.000
2020-01-30,320.543,324.090,318.750,323.870,323.093,31685808.000,0.000,1.000
2020-01-31,320.930,322.680,308.290,309.510,308.767,49897096.000,0.000,1.000
2020-02-03,304.300,313.490,302.220,308.660,307.919,43496401.000,0.000,1.000
2020-02-04,315.310,319.640,313.635,318.850,318.085,34154134.000,0.000,1.000
2020-02-05,323.520,324.760,318.950,321.450,320.678,29706718.000,0.000,1.000
2020-02-06,322.570,325.220,320.265,325.210,324.429,26356385.000,0.000,1.000
2020-02-07,322.370,323.400,318.000,320.030,320.030,29421012.000,0.770,1.000
2020-02-10,314.180,321.550,313.850,321.550,321.550,27337215.000,0.000,1.000
2020-02-11,323.600,323.900,318.710,319.610,319.610,23580780.000,0.000,1.000
2020-02-12,321.470,327.220,321.470,327.200,327.200,28432573.000,0.000,1.000
2020-02-13,324.190,326.220,323.350,324.870,324.870,23686892.000,0.000,1.000
2020-02-14,324.730,325.980,322.850,324.950,324.950,20028447.000,0.000,1.000
2020-02-18,315.360,319.750,314.610,319.000,319.000,38190545.000,0.000,1.000
2020-02-19,320.000,324.570,320.000,323.620,323.620,23495991.000,0.000,1.000
2020-02-20,322.630,324.650,318.210,320.300,320.300,25141489.000,0.000,1.000
2020-02-21,318.620,320.450,310.500,313.050,313.050,32081086.000,0.000,1.000
